Metrics,Dataset,Algorithm,AUC,AUC BaseLine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsc15_64_1EOS_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,rsc15_64_1EOS,csrm,0.735906736,0.456959167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsc15_64_1EOS_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,,sgnn,0.722420676,0.456959167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsc15_64_1EOS vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,,vsknn,0.545598859,0.456959167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W0_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,retailrocket_1EOS_W0,csrm,0.694050298,0.389995218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W0_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,,sgnn,0.743433726,0.389995218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W0_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,,vsknn,0.517189955,0.389995218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W3_LR_csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,retailrocket_1EOS_W3,csrm,0.709871388,0.413698239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W3_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,,sgnn,0.752692479,0.413698239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W3_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,,vsknn,0.525146712,0.413698239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W5_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,retailrocket_1EOS_W5,csrm,0.700525765,0.388127422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W5_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,,sgnn,0.742965512,0.388127422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailrocket_1EOS_W5_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,,vsknn,0.521299375,0.388127422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diginetica_1EOS_LR sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,diginetica_1EOS,sgnn,0.638249207,0.612792441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diginetica_1EOS_LR vsknn-k=1000-sample_size=1000-weighting=same-weighting_score=quadratic-idf_weighting=2,,vsknn,0.587763275,0.612792441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diginetica_10EOS_LR csrm-hidden_units=100-epoch=10-lr=0.001-memory_size=128,diginetica_10EOS,csrm,0.657423228,0.612792441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diginetica_10EOS_LR  sgnn-best-lr=0.008-l2=0.0001-lr_dc=0.45-lr_dc_step=3-epoch_n=10,,sgnn,0.637525947,0.612792441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
